MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	199.87329	Sec	12/31/2019 10:49:14 AM
Time	1000 kN Displacement	1000 kN Force	Ex D1	Ex D2	1000 kN Count
s	mm	N	mm	mm	segments
966.19385	2.1667612	3564.4624	-0.00088572502	0.00037670135	8
967.19385	2.1761892	3773.6646	-0.00093758106	0.00047653913	8
968.19385	2.1880352	3982.1843	-0.00096917152	0.00049263239	8
969.19385	2.1961503	4242.4907	-0.0011387467	0.00062793493	8
970.19385	2.2053287	4569.0234	-0.0012969971	0.00061929226	8
971.19385	2.2171214	5052.1406	-0.0015088916	0.00079214573	8
972.19385	2.2264841	5731.291	-0.0018337369	0.00097095966	8
973.19385	2.2374387	6512.7144	-0.0021883845	0.0013458729	8
974.19385	2.2455776	7373.2251	-0.0025448203	0.0016704202	8
975.19385	2.2568653	8340.835	-0.0029239058	0.0019073486	8
976.19385	2.2664418	9561.3779	-0.0034967065	0.0021660328	8
977.19385	2.2762558	10842.032	-0.0041121244	0.0025570393	8
978.19385	2.2868662	12226.508	-0.0047138333	0.002912581	8
979.19385	2.2964129	13755.728	-0.0052770972	0.0033563375	8
980.19385	2.3074036	15763.102	-0.0060713291	0.0038307905	8
981.19385	2.3174493	17753.641	-0.0068441033	0.0041434169	8
982.19385	2.3274002	19641.105	-0.007545054	0.004530251	8
983.19385	2.3394244	22217.793	-0.008405745	0.0048667192	8
984.19385	2.348496	24823.379	-0.0093072653	0.0053361058	8
985.19385	2.3565516	27067.449	-0.010138154	0.0056707859	8
986.19385	2.3690808	30033.807	-0.011001825	0.0059714913	8
987.19385	2.3784316	33128.219	-0.011860728	0.0063771009	8
988.19385	2.3881032	36067.332	-0.013220608	0.0065377355	8
989.19385	2.3977153	39269.168	-0.013985336	0.0067979097	8
990.19385	2.4076602	42550.234	-0.01506269	0.00682652	8
991.19385	2.4175398	45988.734	-0.016039312	0.006904006	8
992.19385	2.4300511	49820.555	-0.017132461	0.0068870187	8
993.19385	2.4380119	53169.094	-0.018077195	0.0068855286	8
994.19385	2.4494598	57223.871	-0.018811226	0.0064995885	8
995.19385	2.4574916	60317.93	-0.01953572	0.0064969063	8
996.19385	2.4699495	64598.801	-0.020580292	0.0064653158	8
997.19385	2.478724	68286.773	-0.021493733	0.0063255429	8
998.19385	2.4877717	71976.703	-0.02251029	0.0061112642	8
999.19385	2.4993029	76145.352	-0.023355186	0.005761385	8
1000.1938	2.5086834	79903.609	-0.024279058	0.0055640936	8
1001.1938	2.5193591	84298.227	-0.025168955	0.0052320957	8
1002.1938	2.5274148	88144.695	-0.026059151	0.0049453974	8
1003.1938	2.5370033	91965.406	-0.026785135	0.0044071674	8
